Магазин;Координаты;Дата и время;Товар;Производитель;Номер карты;Количество;Цена
Пятёрочка;59.957, 30.355012;2024-06-26T18:05;масло;Простоквашино;2200 4012 9999 8282;6;432
Пятёрочка;59.92902, 30.371006;2024-06-11T12:08;творог;Президент;5112 2372 7650 3497;2;406
Ситилинк мини;59.871373, 30.381732;2024-10-30T21:58;компьютер;acer;4306 4368 4710 1496;6;298866
Красное&Белое;59.927016, 30.330534;2024-12-14T10:39;ряженка;Ehrmann;2200 5618 8124 1742;4;164
Сбермаркет;59.93869, 30.366028;2024-06-21T19:37;вода;PepsiCo;2200 4062 6607 3412;6;312
restore:;59.941932, 30.27508;2024-09-08T12:15;телевизор;sharp;4306 4361 6187 8887;5;215235
ВкусВилл;59.853333, 30.330313;2024-03-21T18:41;майонез;Kraft;2200 7090 3754 4995;1;134
Пятёрочка;59.910056, 30.313952;2024-04-05T11:14;йогурт;Активиа;2200 5647 6577 6316;7;623
Wildberries;59.928975, 30.375629;2024-12-08T13:27;ботинки;columbia;4306 4319 7768 7534;6;47832
Wildberries;59.952565, 30.254122;2024-09-24T14:26;футболка;lacoste;5228 6083 8098 3928;3;11007
Мини Лента;59.940086, 30.213243;2024-09-18T09:13;сметана;Простоквашино;2200 5636 2532 7610;3;150
Красное&Белое;59.920045, 30.341254;2024-01-11T12:10;пюре;Агуша;2200 7031 1333 7258;6;312
Магнит;59.915108, 30.324354;2024-02-22T14:20;мясные продукты;Добрыня;2200 5693 3061 7884;5;975
Гипер Лента;59.955691, 30.244461;2024-10-16T17:21;батончики;Nestle;4039 3345 1284 8204;2;282
Lichi;59.820557, 30.31807;2024-06-12T08:34;кроссовки;new balance;2202 2035 1631 2321;6;32664
Street Beat;59.820156, 30.317612;2024-04-22T20:18;куртка;fila;2200 4097 8540 2993;6;48666
Глобус;60.03683, 30.345774;2024-05-11T12:30;шоколад;Lindt;2200 5655 2471 4871;6;1626
Пятёрочка;59.915729, 30.297891;2024-03-15T19:25;сыр;Президент;5112 2365 4203 7132;7;1834
Гипер Лента;59.989717, 30.439173;2024-12-06T09:50;снеки;Pringles;2200 7091 7205 3136;2;176
Глобус;59.582141, 30.139059;2024-12-28T10:15;кефир;Простоквашино;5112 2317 2251 5267;6;186
Технопарк Новикова;60.027195, 30.273621;2024-03-26T10:11;фотоаппарат;leica;2200 7060 8306 9660;2;308256
Эльдорадо;59.878146, 30.358258;2024-10-23T08:04;монитор;acer;2200 5657 5810 2492;2;24802
Яндекс Маркет;59.863894, 30.314336;2024-08-11T13:56;костюм;yves saint laurent;2202 2016 1317 1091;4;549052
Гипер Лента;59.80712, 30.162136;2024-07-23T07:16;йогурт;Кубанский молочник;2200 4077 5524 7799;2;100
Ситилинк мини;59.871373, 30.381732;2024-08-20T20:01;телевизор;samsung;2200 5683 3568 9793;1;35743
Яндекс Маркет;59.918613, 30.295814;2024-11-21T18:43;сыр;Activia;2200 5689 8701 9606;3;654
Ситилинк;59.730483, 30.616702;2024-09-18T14:30;телевизор;lg;2200 5664 8777 7079;6;207228
Супер Лента;59.966729, 30.282816;2024-02-28T20:43;творог;Добрыня;2200 4016 8876 3708;5;505
Яндекс Маркет;59.913424, 30.286484;2024-08-12T16:33;конфеты;Марс;5112 2310 3857 4845;2;546
Ситилинк;59.730483, 30.616702;2024-03-11T09:13;усилитель;bose;4306 4341 6738 3350;3;108765
Перекрёсток;59.853622, 30.339284;2024-02-18T19:59;сметана;Простоквашино;2200 5610 2189 6060;5;265
Wildberries;59.934578, 30.29815;2024-12-11T15:26;джинсы;wrangler;2200 7074 6925 5771;4;20400
Яндекс Маркет;59.942738, 30.280469;2024-07-06T16:44;футболка;balenciaga;5112 2314 5993 1239;2;30748
Яндекс Маркет;59.928546, 30.345324;2024-12-01T18:45;кроссовки;skechers;2200 7093 9131 8044;6;40956
Перекрёсток;59.945836, 30.215417;2024-06-12T18:58;кефир;Домик в деревне;2200 5654 6473 8950;5;170
Яндекс Маркет;59.935379, 30.362436;2024-05-04T14:58;ботинки;dr. martens;2200 5630 1482 6745;3;23265
Глобус;59.918839, 30.297876;2024-02-19T20:24;масло;Чудо;4306 4369 6724 5550;2;112
Перекрёсток;60.006797, 30.27478;2024-02-25T19:06;масло;Домик в деревне;2200 4033 3446 5158;5;815
Wildberries;59.942521, 30.359982;2024-06-19T15:26;футболка;patagonia;4306 4316 7696 5968;5;12095
Лента;59.829358, 30.379289;2024-02-20T18:13;творог;Простоквашино;2200 5644 1963 7328;1;41
Глобус;59.909771, 30.513495;2024-07-05T19:19;сок;Агуша;2200 5696 2040 6350;5;440
Яндекс Маркет;59.937145, 30.277776;2024-01-28T16:19;бекон;Валми;5211 9447 8856 4047;3;876
Ашан Сити;59.899965, 30.400781;2024-04-26T08:12;конфеты;Nestle;5211 9453 3068 5085;6;486
Street Beat;60.00455, 30.300799;2024-05-03T17:08;куртка;diadora;2202 2025 7939 7283;1;5335
Яндекс Маркет;59.919659, 30.349224;2024-09-24T07:01;йогурт;Тёма;5211 9456 3598 6765;3;225
М.Видео;59.870237, 30.350111;2024-02-21T17:12;мышь;corsair;2200 5682 1503 3055;1;2763
ВкусВилл;59.904564, 30.314945;2024-03-12T12:13;шоколад;Марс;2200 5629 8848 3073;2;426
Сбермаркет;59.93869, 30.366028;2024-04-22T09:22;кетчуп;Heinz;5112 2374 8542 7187;5;500
О'кей;60.083376, 29.954899;2024-03-17T08:57;молоко;Простоквашино;5228 6096 9588 8151;5;190
Глобус;59.969676, 30.338688;2024-01-09T15:20;йогурт;Простоквашино;2200 4057 5902 6441;6;306
Магнит;59.938315, 30.240457;2024-06-25T12:47;соусы;Русский продукт;2200 5630 3535 8747;2;238
Яндекс Маркет;59.863894, 30.314336;2024-01-26T08:24;рубашка;wrangler;2200 5648 2759 7122;1;3404
Супер Лента;59.967324, 30.299453;2024-04-02T15:15;суп;Роллтон;2200 5656 1885 2947;1;100
Твоё;60.012027, 30.398278;2024-09-10T10:59;свитер;pull&bear;5389 9447 8200 6108;3;8265
Супер Лента;60.049161, 30.340722;2024-03-15T12:29;молоко 3.2%;Ehrmann;4306 4356 8291 8257;2;118
Ситилинк;59.536945, 30.883558;2024-09-22T13:50;саундбар;lg;2200 5675 2497 9800;7;87500
Wildberries;59.96387, 30.28021;2024-08-17T14:36;носки;asics;2200 7027 1052 1583;1;674
Магнит;59.933668, 30.362249;2024-11-25T16:31;горчица;Kraft;2200 5610 9860 4512;1;118
Красное&Белое;59.918165, 30.290485;2024-02-24T16:05;молоко 1.5%;Чудо;5112 2351 6663 3969;6;222
Гипер Лента;60.027871, 30.620235;2024-08-09T08:15;консервированные овощи;Heinz;2200 5645 2963 3792;3;462
Ситилинк;59.734295, 30.080797;2024-10-01T19:44;усилитель;harman kardon;5228 6073 9353 9623;3;66900
Гипер Лента;59.907322, 30.302922;2024-08-08T12:12;шоколад;Нестле Россия;5112 2323 8867 6564;7;1603
Красное&Белое;59.918249, 30.280526;2024-06-12T11:23;батончики;Quaker;2200 4025 5443 9593;7;1043
DNS;60.000317, 30.210136;2024-12-29T14:54;проектор;sony;4039 3365 6071 4900;4;177808
О'кей;59.827397, 30.316813;2024-04-25T12:02;творог обезжиренный;Сваля;2200 4023 6591 3551;1;65
Яндекс Маркет;59.940096, 30.251419;2024-06-23T11:59;кефир;Активиа;4306 4358 4444 2388;6;624
Яндекс Маркет;59.921889, 30.370316;2024-04-23T17:13;куртка;napapijri;2200 5635 6568 1853;2;144068
Супер Лента;59.967324, 30.299453;2024-02-02T16:27;крупы;Лесной Гурман;4306 4390 2272 8584;5;235
Пятёрочка;59.909814, 30.34566;2024-01-29T11:13;шоколад;Красный Октябрь;5112 2376 3014 6860;4;936
ВкусВилл;59.935101, 30.271437;2024-12-25T18:24;специи;Русский продукт;2200 4058 8376 5854;3;303
DNS;59.932125, 30.354146;2024-01-03T12:41;усилитель;onkyo;4306 4351 1981 8379;3;74007
DNS;59.989714, 30.205831;2024-02-22T08:46;роутер;netgear;2200 5670 5868 4218;2;6476
ВкусВилл;59.901631, 30.512857;2024-02-03T18:31;творог;Ростагроэкспорт;2200 5671 5565 4681;7;343
Пятёрочка;59.922217, 30.280803;2024-07-04T11:39;квас;Балтика;5389 9489 4167 2262;2;96
Супер Лента;59.985356, 30.381869;2024-04-24T15:34;творог обезжиренный;ВкусВилл;2200 5634 6457 3620;1;40
ВкусВилл;59.937707, 30.232801;2024-06-06T17:34;ряженка;Савушкин продукт;2200 5637 3391 4020;2;76
Яндекс Маркет;59.952041, 30.483453;2024-05-26T19:10;туфли;gucci;2200 5659 3906 9899;3;90834
О'кей;60.017172, 30.434582;2024-07-26T18:16;масло;Чудо;2200 4069 3996 7467;6;408
Глобус;59.582141, 30.139059;2024-11-24T18:15;творог;Село Зеленое;4306 4398 1495 3602;2;104
Globus;60.005732, 30.29851;2024-03-19T19:26;сметана;Activia;2200 5699 2295 2408;7;931
Яндекс Маркет;59.945278, 30.216984;2024-01-18T19:10;спортивные брюки;under armour;2200 5665 9675 8861;1;2859
Глобус Джус;59.953759, 30.330403;2024-09-15T10:30;йогурт;Простоквашино;4306 4327 1599 7291;6;234
Ситилинк;59.836205, 30.342154;2024-03-15T14:08;усилитель;onkyo;2200 5631 5289 7299;5;128825
Магнит;59.996785, 30.273699;2024-11-19T19:29;сосиски;Велком;2200 5672 1706 3835;1;209
DNS;59.702543, 30.38151;2024-05-23T13:11;монитор;hp;4039 3366 3118 6548;7;76769
Эльдорадо;59.908657, 30.483854;2024-05-20T16:18;мышь;logitech;4986 2986 2179 4120;1;2962
Пятёрочка;59.903847, 30.312851;2024-09-10T11:47;консервы;Верес;2200 5613 2497 8580;3;336
Твоё;60.052322, 30.333312;2024-01-23T15:17;галстук;givenchy;5112 2385 6605 2172;6;141342
DNS;60.052806, 30.425923;2024-05-14T17:21;объектив;canon;5112 2376 5334 3121;6;185550
Магнит;59.996785, 30.273699;2024-08-07T08:20;бекон;Останкинское;2200 5670 8803 6688;1;259
М.Видео;59.92564, 30.319245;2024-07-07T16:29;компьютер;msi;5211 9411 8664 1071;5;245030
Лента;59.829358, 30.379289;2024-04-22T12:06;супы;Campbell's;2202 2011 7603 9980;1;133
Hiker;59.927197, 30.361655;2024-05-22T19:44;пальто;balmain;4306 4334 1248 7080;3;228951
О'Кей;59.843892, 30.179765;2024-02-09T07:08;молоко;Агуша;2200 4061 5894 5014;6;150
Супер Лента;59.985356, 30.381869;2024-06-07T11:26;молоко;ВкусВилл;2200 5623 7521 1239;7;210
Магнит;59.856306, 30.199792;2024-04-22T15:33;конфеты;Марс;4306 4357 2474 5693;1;267
Яндекс Маркет;59.950423, 30.23407;2024-02-10T08:04;рюкзак;salomon;2202 2083 9745 4517;3;34287
Магнит;59.935922, 30.372347;2024-07-16T16:54;хлопья;Post;4306 4323 1500 6570;7;924
Гипер Лента;59.917223, 30.522065;2024-03-18T15:42;масло;Чудо;2200 7062 8520 9182;2;120
restore:;59.927591, 30.360196;2024-03-16T16:01;смартфон;samsung;2200 5651 6701 1308;2;85324
О'Кей;59.989069, 30.225281;2024-12-02T18:44;колбасы;Добрыня;2200 5687 8457 8355;1;278
Магнит;59.831781, 30.327759;2024-07-14T12:23;соус;Бондюэль;2200 5660 3261 7346;2;188
Wildberries;59.958576, 30.222549;2024-09-24T10:25;спортивные брюки;fila;2200 5685 8020 7416;1;1996
Ситилинк;60.003283, 30.292168;2024-01-24T16:59;ноутбук;msi;2200 5612 9671 6596;1;33350
Эльдорадо;59.941628, 30.276513;2024-04-23T15:38;телевизор;sony;5112 2337 8292 4389;2;49236
Магнит;59.92892, 30.301764;2024-08-12T09:42;специи;Русский продукт;2200 5616 5064 8328;7;546
Ситилинк;59.787853, 30.318287;2024-12-23T18:10;монитор;sharp;4306 4378 9060 8032;1;20370
Спортмастер;59.894882, 30.516501;2024-07-01T09:49;пальто;balmain;5211 9445 5752 2236;2;161758
Спортмастер;59.894882, 30.516501;2024-08-17T13:59;рюкзак;mammut;5112 2346 9794 2651;1;8923
Яндекс Маркет;59.916968, 30.283297;2024-09-09T08:28;джемпер;calvin klein;2200 5611 5815 2735;7;46837
Магнит;59.928152, 30.381055;2024-07-26T15:52;кетчуп;Махеевъ;5389 9487 8052 2184;5;590
О'кей;59.929972, 30.433245;2024-12-06T10:51;молоко;Данон;2200 4034 8889 6946;6;222
Пятёрочка;59.917953, 30.357037;2024-02-06T12:46;творог;Тёма;2202 2097 9714 5139;5;240
Яндекс Маркет;59.967813, 30.301352;2024-12-11T19:34;сметана;Danone;4377 7396 7590 5454;4;448
Globus;59.833644, 30.507443;2024-04-11T10:08;кефир;Домик в деревне;4039 3373 3585 1958;3;117
Эльдорадо;59.818426, 30.317304;2024-12-28T15:13;телевизор;lg;4306 4361 7361 2904;4;116988
О'кей;60.056526, 30.309826;2024-06-23T10:52;горчица;Heinz;5112 2326 6270 4594;4;376
Пятёрочка;59.922979, 30.333794;2024-07-19T13:19;кефир;BioMax;2200 5625 3716 1688;5;300
Глобус;59.582141, 30.139059;2024-07-20T10:41;масло;Домик в деревне;2200 5611 4158 1860;5;905
Стокманн;59.866927, 30.349829;2024-08-05T16:14;куртка;pull&bear;2200 5662 1178 7780;3;19254
Rendez-Vous;59.820069, 30.318263;2024-08-12T13:24;пуховик;canada goose;5112 2352 9952 7204;6;448296
Wildberries;59.917756, 30.296581;2024-01-08T11:47;спортивные брюки;asics;2200 5670 4419 6650;1;4953
Finn Flare;60.090158, 30.380979;2024-07-24T16:47;куртка;fila;2202 2037 4597 2104;6;24612
ВкусВилл;59.938905, 30.376301;2024-06-28T12:52;десерты;Ferrero;2200 5660 8606 3364;2;354
Перекрёсток;59.966662, 30.287316;2024-02-16T07:31;пюре;Бабушкино лукошко;5112 2330 7374 9842;3;210
Красное&Белое;59.934149, 30.26734;2024-09-07T10:13;йогурт;Ehrmann;2200 5680 9453 1379;2;120
Ситилинк;59.999234, 30.360068;2024-05-25T09:32;планшет;honor;4306 4313 7678 1158;1;14770
Wildberries;59.932882, 30.238207;2024-10-25T18:33;брюки;the north face;2200 4074 8936 8316;2;20746
DNS;59.864412, 30.47255;2024-08-27T13:27;наушники;harman kardon;2200 5628 6479 5684;7;72072
Пятёрочка;59.923644, 30.348069;2024-10-10T12:17;батончики;Mars;4306 4382 5569 5590;6;750
PiterGSM;59.932429, 30.36603;2024-04-26T09:05;наушники;sony;2200 5632 7679 8999;3;25512
Магнит;59.939108, 30.284758;2024-10-12T17:54;молоко 3.2%;Danone;4306 4364 6394 5916;4;228
DNS;59.864412, 30.47255;2024-11-26T08:14;монитор;hisense;2200 5640 1112 5413;7;212352
DNS;59.922337, 30.335569;2024-07-25T14:32;утюг;toshiba;4306 4395 3318 2405;7;25970
Красное&Белое;59.927196, 30.413036;2024-03-23T19:15;горчица;Heinz;2202 2079 6479 1244;5;465
Супер Лента;59.931039, 30.404056;2024-02-10T20:35;творог;Домик в деревне;2200 5681 6456 7901;2;208
Индустриальный парк Greenstate;59.777281, 30.172703;2024-01-12T10:24;ноутбук;msi;4306 4345 1175 6876;5;232435
О'кей;59.827397, 30.316813;2024-01-04T10:20;ряженка;Ehrmann;2200 5694 3882 5940;1;27
Гипер Лента;60.074949, 30.272381;2024-05-20T14:10;сыр;Президент;5112 2334 5811 9931;6;1428
Гипер Лента;59.89301, 30.281714;2024-12-25T20:34;ряженка;Савушкин продукт;2200 5653 7164 7173;1;38
Технопарк Мариенбург;59.560797, 30.056121;2024-10-13T07:04;наушники;apple;5112 2371 9931 3870;5;37395
М.Видео;59.881219, 30.317233;2024-08-10T12:16;саундбар;lg;4306 4369 9008 4273;3;48027
Гипер Лента;59.955691, 30.244461;2024-01-20T08:34;сыр;Hochland;4306 4347 7819 6506;6;1788
DNS;60.037444, 30.406852;2024-01-08T10:43;наушники;oppo;2200 5649 9158 8654;2;7686
Rendez-Vous;59.79258, 30.333326;2024-02-24T18:39;ботинки;the north face;2200 5628 1826 5468;1;7872
Яндекс Маркет;59.909549, 30.347372;2024-10-16T10:46;пюре;Бабушкино лукошко;2200 5639 5111 9033;6;420
Эльдорадо;59.853667, 30.341622;2024-09-02T15:46;колонки;philips;4306 4350 4728 9476;2;21946
Технопарк Нарвский;59.897061, 30.291578;2024-06-04T13:50;телевизор;sony;4306 4394 5396 5523;2;47438
Пятёрочка;59.931213, 30.348199;2024-06-15T19:29;батончики;Марс;5389 9486 6854 5495;5;1030
Пятёрочка;59.999124, 30.361595;2024-09-22T16:45;батончики;Kellogg's;2200 5611 3134 7881;7;1106
Street Beat;59.820156, 30.317612;2024-07-18T20:38;рубашка;levis;4306 4394 3824 6599;7;17297
Твое;59.850142, 30.268157;2024-05-16T18:49;кроссовки;hummel;2200 5619 9168 6491;7;33446
Красное&Белое;59.925173, 30.283897;2024-02-07T19:12;мясные продукты;Perdue;2200 5671 7753 9056;3;744
Яндекс Маркет;59.921132, 30.307622;2024-01-28T12:29;батончики;Mars;2200 5642 6943 4699;5;855
Яндекс Маркет;59.856565, 30.317911;2024-12-15T10:17;батончики;Quaker;2200 7042 3558 5996;3;471
Глобус;59.832703, 30.339389;2024-06-25T14:02;специи;Русский продукт;2200 7042 2096 5959;4;308
Перекрёсток;59.971116, 30.38625;2024-02-15T14:33;соусы;Knorr;2200 5647 9024 2661;6;648
Яндекс Маркет;59.924028, 30.328292;2024-03-30T12:05;брюки;salomon;5112 2319 1218 9834;7;55559
Гипер Лента;59.724489, 30.083939;2024-06-02T16:41;творог;Тёма;2200 5686 7367 5585;6;222
Wildberries;59.955604, 30.292797;2024-02-11T15:28;куртка;diadora;2200 4089 4860 3121;4;20848
Магнит;59.928076, 30.31935;2024-12-19T10:17;хлопья;Quaker;2202 2027 9636 5718;5;930
ВкусВилл;59.930532, 30.411229;2024-12-31T08:07;макароны;Нестле;4306 4389 5013 7655;6;690
Супер Лента;59.966729, 30.282816;2024-07-18T08:35;лапша;Big Bon;2200 5631 8325 4071;5;345
Глобус;59.909771, 30.513495;2024-11-18T11:02;горчица;Heinz;2200 5651 6821 3953;2;162
Перекрёсток;59.938498, 30.230381;2024-06-17T17:17;конфеты;Nestle;5112 2382 2030 5466;3;792
Перекрёсток;59.919236, 30.464655;2024-07-04T12:06;кефир;Простоквашино;2200 5624 5784 4942;4;100
Технопарк Арсенал;59.964016, 30.363991;2024-06-01T08:39;монитор;lenovo;2202 2020 2118 8353;2;31056
Яндекс Маркет;59.967813, 30.301352;2024-05-21T10:06;кефир;Савушкин продукт;2200 4067 6378 3757;4;308
Технополис Политехнический;60.006052, 30.379113;2024-09-28T10:43;саундбар;tcl;2200 4066 6392 2591;3;33789
DNS;59.851368, 30.261444;2024-04-17T10:32;планшет;samsung;2200 7010 8718 6718;2;66768
Гипер Лента;59.869494, 29.828101;2024-03-28T08:23;творог обезжиренный;Простоквашино;2200 5679 6808 1778;3;144
Пятёрочка;59.96092, 30.331526;2024-02-01T13:16;майонез;Heinz;2200 7039 6398 4580;1;141
Яндекс Маркет;59.928375, 30.305465;2024-07-20T17:27;толстовка;off-white;2200 5643 8389 1532;1;17046
Спортмастер;59.851341, 30.265641;2024-06-13T09:53;толстовка;new era;2200 5615 9688 8886;6;23688
Яндекс Маркет;59.916947, 30.32797;2024-07-26T11:52;специи;Махеев;5112 2332 5851 5634;5;480
Wildberries;60.006029, 30.249375;2024-12-19T14:00;пальто;uniqlo;4306 4333 2002 5695;2;14836
Спортмастер;59.927602, 30.360711;2024-03-01T15:47;футболка;patagonia;2200 5688 9811 3560;4;8640
ВкусВилл;59.941861, 30.273627;2024-01-16T16:38;колбасы;Валми;5228 6096 9890 4002;1;277
Магнит;59.954618, 30.436302;2024-02-17T16:33;конфеты;Lindt;2200 5625 7502 5144;2;394
Красное&Белое;59.925173, 30.283897;2024-05-05T13:48;ряженка;Ehrmann;2200 5696 1438 8615;2;56
Rendez-Vous;60.091047, 30.381047;2024-07-29T13:29;пальто;cos;2202 2092 4088 8144;6;40590
М.Видео;59.98599, 30.217905;2024-07-24T13:04;стиральная машина;lg;4039 3383 7961 6599;3;121737
Технопарк Рот Фронт;59.948783, 30.26169;2024-05-02T20:51;монитор;msi;5211 9470 9510 5554;2;31602
Яндекс Маркет;59.928597, 30.326117;2024-12-20T14:10;футболка;saucony;2200 5620 3867 7225;1;1980
Гипер Лента;59.80853, 30.320981;2024-08-25T16:52;майонез;Kraft;2200 5629 5117 2238;2;362
Магнит;59.915108, 30.324354;2024-08-23T16:43;специи;McCormick;5112 2312 2379 5636;4;404
Street Beat Kids;59.928091, 30.359974;2024-04-12T17:04;пуховик;moncler;5389 9416 2890 6221;1;93621
Ситилинк;59.721239, 30.415793;2024-05-01T08:49;наушники;beats;2200 5679 9161 3813;7;113204
ВкусВилл;59.935101, 30.271437;2024-12-19T12:16;творог;Чудо;4986 2985 3000 8881;2;312
Гипер Лента;60.021476, 30.604864;2024-10-09T16:42;соусы;Махеев;2202 2063 9591 6762;7;665
ВкусВилл;59.948834, 30.475463;2024-08-08T14:26;десерты;Ferrero;2200 5646 7920 1546;7;1617
Гипер Лента;59.917223, 30.522065;2024-04-21T14:56;творог;Президент;2200 5641 7098 4778;5;270
Пятёрочка;59.999124, 30.361595;2024-03-09T16:59;конфеты;Нестле Россия;5389 9493 9629 4975;5;1310
Гипер Лента;59.89798, 30.333871;2024-08-24T14:38;молоко;Parmalat;4306 4329 2040 8639;5;145
Finn Flare;59.928337, 30.361288;2024-10-30T11:32;футболка;zara;2200 5693 3089 4521;5;6215
Finn Flare;59.928337, 30.361288;2024-05-01T15:00;ботинки;timberland;2200 5668 6924 2802;7;62125
Wildberries;59.928533, 30.314139;2024-05-05T12:47;пальто;uniqlo;4306 4370 3379 7600;6;39918
Мини Лента;59.95786, 30.342121;2024-06-05T15:35;кефир;Простоквашино;2200 5619 1455 4823;4;104
Технополис Политехнический;60.006052, 30.379113;2024-06-28T10:34;саундбар;lg;2200 5649 2918 4924;4;56092
Супер Лента;60.06071, 30.43918;2024-06-11T15:34;йогурт;Danone;2200 5677 3273 7169;5;465
Сбермаркет;59.819636, 30.316447;2024-02-14T10:15;хлопья;Post;2200 5620 8712 6417;2;248
Wildberries;59.928533, 30.314139;2024-05-31T11:34;шорты;nike;2202 2030 6039 4928;2;2606
Твоё;59.853142, 30.339315;2024-09-22T10:12;толстовка;converse;5112 2324 9996 3161;7;28910
Ашан;60.091953, 30.38196;2024-10-27T19:38;приправы;Русский продукт;5228 6042 1615 1179;5;665
Эльдорадо;60.08961, 30.381524;2024-04-21T13:12;колонки;sony;2202 2097 3648 9873;7;74032
О'кей;59.882218, 30.315978;2024-09-14T11:19;йогурт;Савушкин продукт;4306 4348 8790 1161;6;318
Яндекс Маркет;59.941515, 30.190159;2024-08-28T12:34;ботинки;timberland;2200 5674 2560 4007;2;15640
Яндекс Маркет;59.944535, 30.287526;2024-12-19T12:50;шоколад;Рот Фронт;2200 5611 6655 9237;6;948
Спортмастер;59.900547, 30.271828;2024-11-11T17:18;куртка;puma;5112 2388 7410 2225;6;30984
Эльдорадо;59.735932, 30.471622;2024-05-18T12:45;холодильник;lg;2200 5628 4055 4638;7;337337
DNS;59.915074, 30.347812;2024-09-25T16:08;смартфон;vivo;4306 4387 4396 7713;3;48963
Промышленный Парк;59.908827, 30.74131;2024-07-12T19:22;монитор;msi;2200 5639 1801 3104;5;55620
Эльдорадо;59.825124, 30.380673;2024-10-17T14:41;микроволновка;bosch;2200 5664 6473 9450;2;23040
ВкусВилл;59.943751, 30.361444;2024-03-06T11:49;макароны;Чумак;2200 5646 2860 8958;6;816
Глобус;59.99305, 30.411113;2024-09-08T18:10;кефир;ЭкоНива;2200 5688 2680 2768;7;385
Перекрёсток;59.958127, 30.313102;2024-03-03T12:39;сок;Агуша;5211 9493 1208 3996;3;306
Магнит;59.940229, 30.344944;2024-03-26T18:25;сметана;Yoplait;5211 9472 8453 8945;2;312
Твоё;59.740528, 30.583641;2024-07-29T17:15;кепка;supreme;4306 4354 4585 9206;2;21252
ВкусВилл;59.870897, 30.381458;2024-03-22T16:30;кефир;ЭкоНива;2202 2075 5206 1198;4;216
Яндекс Маркет;59.967813, 30.301352;2024-01-27T10:58;десерты;Рот Фронт;5112 2346 9547 7529;2;326
Wildberries;59.949595, 30.226461;2024-03-11T16:30;футболка;lacoste;2200 5659 9820 7280;2;5908
О'кей;60.059238, 30.33575;2024-11-02T17:10;йогурт;Простоквашино;2200 4025 7759 5372;7;546
Яндекс Маркет;59.928375, 30.305465;2024-10-01T19:03;рубашка;levis;2200 7091 1125 6041;4;13508
Яндекс Маркет;59.913957, 30.350399;2024-10-29T18:52;творог;Агуша;2200 5622 4061 2739;3;321
Эльдорадо;59.87033, 30.379202;2024-12-25T18:28;усилитель;yamaha;2200 5696 3586 8227;5;143310
Перекрёсток;59.959078, 30.319554;2024-09-21T18:10;мюсли;General Mills;2200 7058 2791 8811;1;175
Эльдорадо;59.941628, 30.276513;2024-06-22T16:31;клавиатура;steelseries;4986 2966 1975 7581;2;15306
М.Видео;59.933146, 30.437312;2024-04-11T11:56;фитнес-трекер;garmin;2200 5640 3703 1957;2;15024
ВкусВилл;59.875384, 30.312626;2024-03-08T11:46;крекеры;Pringles;5112 2370 5893 6166;5;395
Finn Flare;60.01231, 30.399348;2024-05-08T14:47;пальто;uniqlo;4039 3362 4093 3670;6;47358
restore:;59.927591, 30.360196;2024-09-26T07:01;монитор;sony;5112 2376 7106 9071;2;56024
Яндекс Маркет;59.854772, 30.186159;2024-02-07T11:27;йогурт;Сваля;2200 5690 5138 8535;2;148
Глобус;60.011197, 30.399973;2024-08-09T19:35;масло;Село Зеленое;4306 4322 3539 5234;6;462
Издательство Утконос;59.932113, 30.301384;2024-07-25T12:18;колбасы;Добрыня;2200 5649 3792 2394;1;274
DNS;59.990509, 30.646148;2024-03-06T13:30;штатив;canon;2200 7072 3856 8586;7;67102
Street Beat;59.868088, 30.350939;2024-06-05T08:28;брюки;new balance;2200 5610 5422 4338;6;18534
ВкусВилл;59.858408, 30.195376;2024-07-25T14:38;кефир;Простоквашино;4377 7319 8756 7166;1;29
Красное&Белое;59.954919, 30.297532;2024-11-29T07:46;индейка;Tyson;2200 7020 9200 6064;1;413
Ситилинк;60.013589, 30.394258;2024-07-27T15:52;ноутбук;hp;2200 7052 6900 3119;2;90466
DNS;59.916187, 30.308786;2024-08-12T21:04;наушники;samsung;4306 4388 7054 9210;2;32282
Супер Лента;60.066472, 30.337534;2024-12-04T18:37;молоко 1.5%;Село Зеленое;4039 3386 1298 7284;2;58
Яндекс Маркет;59.912851, 30.301256;2024-08-16T10:33;хлопья;Quaker;2200 5681 7388 1034;7;1631
Ашан;59.913898, 30.341063;2024-05-16T09:58;мюсли;Здорово;2202 2072 6823 9879;7;945
Wildberries;59.928533, 30.314139;2024-11-30T08:26;кепка;off-white;2200 5671 5083 8483;4;48532
Пятёрочка;59.920904, 30.353622;2024-03-02T12:54;творог;Милград;5112 2381 7091 9453;4;540
Супер Лента;59.931039, 30.404056;2024-04-08T13:32;йогурт;Danone;2200 5629 9075 2278;4;212
Эльдорадо;60.02228, 30.225802;2024-09-30T11:53;фитнес-трекер;garmin;5211 9421 7096 5909;1;7604
О'кей;60.037915, 30.32125;2024-09-11T09:18;лапша;Big Bon;2200 5635 1695 9956;1;77
Пятёрочка;59.957, 30.355012;2024-05-27T16:23;мюсли;Nestle;4306 4386 9361 8689;3;516
Яндекс Маркет;59.921132, 30.307622;2024-10-09T14:05;рубашка;cos;4306 4319 1442 1319;6;11898
Красное&Белое;59.928654, 30.349752;2024-06-30T12:18;газированные напитки;PepsiCo;2200 5686 6347 5878;5;420
О'кей;59.795893, 30.147059;2024-09-01T16:15;йогурт;Danone;2200 7026 6721 1100;7;371
